Sim_ID,Time (ms),I_ext (pA),v (mV),u (pA)
1,2.81,300.0,-52.68895055307614,-0.6231737654489496
1,2.82,300.0,-52.66538631636674,-0.6273798820834718
1,2.83,300.0,-52.64183044993581,-0.6315988709787786
1,2.84,300.0,-52.61828287171905,-0.6358307232769794
1,2.85,300.0,-52.594743499765386,-0.6400754301720383
1,2.86,300.0,-52.57121225223575,-0.6443329829096897
1,2.87,300.0,-52.547689047402,-0.6486033727873574
1,2.88,300.0,-52.524173803645716,-0.6528865911540713
1,2.89,300.0,-52.50066643945707,-0.6571826294103884
1,2.9,300.0,-52.4771668734337,-0.6614914790083103
1,2.91,300.0,-52.45367502427955,-0.6658131314512056
1,2.92,300.0,-52.43019081080373,-0.6701475782937294
1,2.93,300.0,-52.4067141519194,-0.6744948111417469
1,2.94,300.0,-52.38324496664263,-0.6788548216522542
1,2.95,300.0,-52.35978317409126,-0.6832276015333031
1,2.96,300.0,-52.3363286934838,-0.6876131425439238
1,2.97,300.0,-52.312881444138284,-0.6920114364940507
1,2.98,300.0,-52.28944134547116,-0.6964224752444466
1,2.99,300.0,-52.26600831699618,-0.7008462507066299
1,3.0,300.0,-52.24258227832327,-0.7052827548428001
1,3.0100000000000002,300.0,-52.21916314915744,-0.709731979665767
1,3.02,300.0,-52.195750849297646,-0.7141939172388764
1,3.0300000000000002,300.0,-52.17234529863572,-0.7186685596759413
1,3.04,300.0,-52.14894641715524,-0.7231558991411696
1,3.0500000000000003,300.0,-52.12555412493043,-0.7276559278490957
1,3.06,300.0,-52.10216834212509,-0.7321686380645098
1,3.0700000000000003,300.0,-52.07878898899146,-0.7366940221023911
1,3.08,300.0,-52.05541598586916,-0.7412320723278384
1,3.09,300.0,-52.03204925318407,-0.7457827811560043
1,3.1,300.0,-52.00868871144728,-0.7503461410520282
1,3.11,300.0,-51.98533428125397,-0.7549221445309701
1,3.12,300.0,-51.96198588328234,-0.7595107841577464
1,3.13,300.0,-51.93864343829253,-0.7641120525470647
1,3.14,300.0,-51.915306867125544,-0.7687259423633607
1,3.15,300.0,-51.89197609070217,-0.773352446320734
1,3.16,300.0,-51.8686510300219,-0.7779915571828873
1,3.17,300.0,-51.845331606161864,-0.7826432677630628
1,3.18,300.0,-51.82201774027576,-0.787307570923983
1,3.19,300.0,-51.7987093535928,-0.7919844595777882
1,3.2,300.0,-51.77540636741661,-0.7966739266859788
1,3.21,300.0,-51.75210870312419,-0.8013759652593541
1,3.22,300.0,-51.72881628216488,-0.8060905683579557
1,3.23,300.0,-51.70552902605923,-0.8108177290910079
1,3.24,300.0,-51.68224685639802,-0.8155574406168624
1,3.25,300.0,-51.65896969484114,-0.8203096961429399
1,3.2600000000000002,300.0,-51.635697463116585,-0.8250744889256758
1,3.27,300.0,-51.612430083019376,-0.8298518122704636
1,3.2800000000000002,300.0,-51.58916747641052,-0.8346416595316016
1,3.29,300.0,-51.565909565215975,-0.8394440241122378
1,3.3000000000000003,300.0,-51.54265627142556,-0.8442588994643178
1,3.31,300.0,-51.51940751709196,-0.8490862790885305
1,3.3200000000000003,300.0,-51.49616322432968,-0.8539261565342584
1,3.33,300.0,-51.472923315313956,-0.8587785253995237
1,3.34,300.0,-51.44968771227978,-0.8636433793309394
1,3.35,300.0,-51.42645633752082,-0.8685207120236588
1,3.36,300.0,-51.40322911338839,-0.873410517221325
1,3.37,300.0,-51.38000596229044,-0.8783127887160239
1,3.38,300.0,-51.35678680669049,-0.883227520348234
1,3.39,300.0,-51.33357156910662,-0.888154706006781
1,3.4,300.0,-51.31036017211045,-0.8930943396287887
1,3.41,300.0,-51.28715253832608,-0.8980464151996346
1,3.42,300.0,-51.26394859042911,-0.9030109267529025
1,3.43,300.0,-51.240748251145554,-0.9079878683703394
1,3.44,300.0,-51.217551443250876,-0.912977234181809
1,3.45,300.0,-51.19435808956893,-0.91797901836525
1,3.46,300.0,-51.17116811297095,-0.922993215146631
1,3.47,300.0,-51.14798143637455,-0.9280198187999098
1,3.48,300.0,-51.12479798274267,-0.9330588236469898
1,3.49,300.0,-51.101617675082586,-0.9381102240576802
1,3.5,300.0,-51.078440436444886,-0.9431740144496539
1,3.5100000000000002,300.0,-51.05526618992245,-0.9482501892884092
1,3.52,300.0,-51.032094858649444,-0.9533387430872284
1,3.5300000000000002,300.0,-51.008926365800306,-0.9584396704071411
1,3.54,300.0,-50.98576063458874,-0.9635529658568837
1,3.5500000000000003,300.0,-50.9625975882667,-0.9686786240928643
1,3.56,300.0,-50.93943715012339,-0.9738166398191236
